pair_id,runtime,presence,found,top1,top5,top10,top20,top50,top100,top200,deep_pool,gt_rank,best_gterr,sel_err,cls
v00042,5.576570272445679,0.7898609007470174,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,38.0,0.803633073345682,,R2
v00043,5.537580966949463,0.7520362799494416,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9829473079433009,,R1
v00044,5.523080348968506,0.7477673006584462,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,0.8288403797376548,,R2
v00045,5.2398340702056885,0.8586237645040166,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41745788995334004,0.6738865057925462,R1
v00046,5.2140212059021,0.8845581319650592,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8218633597905599,0.6254017749805432,R1
v00047,5.3843629360198975,0.7669582037338717,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,47.0,0.8460158131611895,,R2
v00048,5.57361364364624,0.7752871820868412,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.903191639135087,,R1
v00049,6.245776891708374,0.8290996814451408,0,,,,,,,,,,,,ABSENT
v00050,5.291084051132202,0.81078285516809,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,11.0,0.8899201211818812,,R2
v00051,5.544472932815552,0.8711223336941719,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7670121238365808,0.6193440089278831,R1
v00052,5.7495129108428955,0.8537141745379777,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6241837514904838,0.6305672553217422,R1
v00053,5.293693780899048,0.8036840416290035,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.1367982303817186,,R2
v00054,5.8981242179870605,0.8249728181273012,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,29.0,0.981600619661072,,R2
v00055,5.405090570449829,0.8199558615298417,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0293151263108782,,R1
v00056,5.286328077316284,0.8416701602152618,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.7442997816031303,,R2
v00057,4.959757089614868,0.8583865490883706,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.46705171939296497,165.71232640330075,R2
v00058,5.590062141418457,0.8430328955381612,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,32.0,1.2679803371072276,302.3781440186104,R2
v00059,5.9324352741241455,0.8436166829881937,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,13.0,0.9755729137362719,136.18576387656114,R2
v00060,6.401073455810547,0.8285738171018269,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,32.0,0.3515527201614027,,R2
v00061,5.45680046081543,0.847956436551008,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9126105463625825,0.7605668195230926,R1
v00062,5.084691047668457,0.8144274941830651,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,38.0,0.9422523248293596,,R2
v00063,4.890281438827515,0.8536725633924747,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7090052530868253,0.6710854724044589,R1
v00064,5.657857179641724,0.8660717038199875,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.187769306970195,0.8496817973393421,R1
v00065,5.162029027938843,0.8585387226321236,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.782385538554703,0.7291611648850487,R1
v00066,5.634806156158447,0.8822167347715666,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,30.0,0.874734022732692,152.90807783781116,R2
v00067,4.898597240447998,0.8504998101228918,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,22.0,0.5082907515400282,353.68097548234505,R2
v00068,4.6313793659210205,0.9082633336689302,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4567404378710658,0.7046252128445946,R1
v00069,6.275099754333496,0.8557251076024619,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3747112024943075,0.5818177906898986,R1
v00070,5.435347318649292,0.7170887404636731,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.3139756154663638,,R2
v00071,6.204615116119385,0.7740632478137829,0,,,,,,,,,,,,ABSENT
v00072,5.245968580245972,0.8152390581783517,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,11.0,0.44792766087220204,,R2
v00073,5.301804065704346,0.6001700080202175,0,,,,,,,,,,,,ABSENT
v00074,5.66563868522644,0.8005105388430606,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.5651933252789954,,R2
v00075,5.631070375442505,0.8342623410899229,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6799753607297475,,R1
v00076,5.955530643463135,0.8316489338480482,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,58.0,0.667669993894443,,R2
v00077,5.585227012634277,0.8246510080023832,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.08060895411117083,,R2
v00078,5.260612726211548,0.8517392544709346,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9002822232542272,0.7566315242007837,R1
v00079,5.24162220954895,0.7782573746620265,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.3274672373340877,,R2
v00081,5.415693044662476,0.8675929534880357,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9953741694924175,0.6932381794685213,R1
v00082,5.092335224151611,0.7914339186857438,0,,,,,,,,,,,,ABSENT
v00083,5.3325724601745605,0.7851494804829662,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,29.0,1.1715475650681926,,R2
v00084,5.312497138977051,0.8721702691650316,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.28764927863145917,0.6434021578277107,R1
v00086,5.992030382156372,0.8384736692227488,0,,,,,,,,,,,,ABSENT
v00087,5.778065919876099,0.748827824149091,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,33.0,1.2448039411114398,,R2
v00088,5.560394287109375,0.8214048513554226,0,,,,,,,,,,,,ABSENT
v00089,6.1310272216796875,0.8466993717645565,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8095912088046305,0.6105400979106778,R1
v00090,5.8472208976745605,0.9186600378149994,1,,,,,,,,,,,,ABSENT
v00092,5.351579189300537,0.7301263351729161,0,,,,,,,,,,,,ABSENT
v00093,5.522288084030151,0.8158506081700001,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,73.0,0.7408027234212424,,R2
v00094,5.336555242538452,0.798947625031339,0,,,,,,,,,,,,ABSENT
v00095,5.458418130874634,0.8253450845890379,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9220990124025672,,R1
v00096,5.494912385940552,0.8529587745897951,1,,,,,,,,,,,,ABSENT
v00097,4.659708738327026,0.8592147858504957,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7692015233057348,0.7012858946045156,R1
v00099,4.118082761764526,0.8386098860127916,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.956497434319653,,R2
