pair_id,rank,cx,cy,gterr,corr_score,psr,context_combined,grad_ncc,phase_penalty,neigh_cons,family,dist_to_center,v25
v00058,9,465.0,298.0,84.16686560994503,0.5857843160629272,0.0,0.6026544013941038,0.4291113317012787,0.05,0.5709485113620758,166,205.00975586542216,0.035568570632879805
v00058,10,437.0,299.0,56.14940809300271,0.5819974541664124,0.0,0.6170292723898151,0.42300280928611755,0.05,0.5430229157209396,166,210.6418761785035,0.03382359151384873
v00058,11,430.0,300.0,49.118501873379095,0.5833095908164978,0.0,0.6136242782375657,0.4317503273487091,0.05,0.4999830424785614,166,211.8962010041709,0.03382359151384873
v00058,12,485.0,297.0,104.19105278930823,0.5658578276634216,0.0,0.6127458579446745,0.4037816524505615,0.05,0.5569300949573517,166,203.55343278854326,0.033611578902001664
v00058,13,693.0,500.0,369.9467535755965,0.5092213153839111,0.0,0.5292948811385829,0.23878352344036102,0.05,0.4867008179426193,166,193.0,0.03345308979552143
v00058,14,444.0,299.0,63.14386885539575,0.5888945460319519,0.0,0.6146934518216915,0.4326247572898865,0.05,0.5775184035301208,166,208.65521800328887,0.030346748365694516
v00058,15,659.0,501.0,342.3333199919569,0.5174192786216736,0.0,0.5236789526617028,0.22845123708248138,0.08106601717798213,0.450113445520401,166,159.00314462299164,0.02553536490207337
v00058,16,506.0,296.0,125.21457013430803,0.5758129954338074,0.0,0.6067467393027502,0.4156416356563568,0.05885254915624212,0.5615328550338745,166,204.08821622033938,0.021142177068983088
v00058,17,472.0,298.0,91.16168828754438,0.5789482593536377,0.0,0.5854824078913283,0.41597774624824524,0.05,0.5652853548526764,166,203.93136100168604,0.020500189264786993
v00058,18,527.0,295.0,146.2381676119291,0.5507363677024841,0.0,0.5917183056583645,0.39840295910835266,0.05,0.49538470804691315,166,206.77040407176264,0.017507213974816607
v00058,19,680.0,500.0,359.0473716228691,0.510730504989624,0.0,0.5134898519960345,0.22125966846942902,0.05,0.48663486540317535,166,180.0,0.016718674314799245
v00058,20,424.0,300.0,43.121154428952295,0.5291922092437744,0.0,0.5697166069856943,0.42936059832572937,0.05,0.48498791456222534,166,213.95326592506132,0.016272190833496875
v00059,1,376.5,532.5,136.57040695882324,0.5131214261054993,0.0,0.4808959838820146,0.37392064929008484,0.05,0.10776207596063614,175,127.70473757852525,0.8092605807867217
v00059,2,484.5,676.5,116.92814481729796,0.49603334069252014,0.0,0.45297021768012163,0.39657843112945557,0.05,0.19162766635417938,175,177.1792877285604,0.6401802567091566
v00059,3,374.5,563.5,105.50597308238812,0.5005412697792053,0.0,0.49074188832103294,0.30458560585975647,0.05,0.1202501580119133,175,140.65027550630677,0.6309989122014628
v00059,4,375.5,547.5,121.53718723082935,0.5052229762077332,0.0,0.4929089309168537,0.37010669708251953,0.05,0.09830387495458126,175,133.25351777720542,0.551666127621048
v00059,5,378.5,502.5,166.63688790520683,0.49575725197792053,0.0,0.4783592561404405,0.3700641095638275,0.05,0.11332370899617672,175,121.5257174428524,0.538650705744795
v00059,6,374.5,578.5,90.54098602850941,0.49557799100875854,0.0,0.44888859704262707,0.35866519808769226,0.05,0.1073404848575592,175,148.02871343087463,0.5220789030636823
v00059,7,494.5,676.5,126.90811939791557,0.4955522418022156,0.0,0.47128174979402665,0.359516978263855,0.05,0.2055698037147522,175,176.58567325805342,0.48412983444286145
v00059,8,377.5,517.5,151.6036418883647,0.5160162448883057,0.0,0.48888457713709166,0.37798455357551575,0.05,0.11650917865335941,175,123.74368670764582,0.43330759788495227
v00059,9,373.5,593.5,75.50815832807606,0.5063275694847107,0.0,0.4535747650974452,0.3764626383781433,0.05,0.1060261195525527,175,157.303846106826,0.3169455081820587
v00059,10,546.5,680.5,179.05699628427305,0.4943563640117645,0.0,0.45619558335491495,0.3779889941215515,0.05,0.2921738550066948,175,186.3934011707496,0.2657512329272756
v00059,11,515.5,678.5,147.99256563888804,0.5000168681144714,0.0,0.45426198009107377,0.4004514813423157,0.05,0.19666092842817307,175,179.17170535550528,0.20782981306843049
v00059,12,382.5,441.5,227.7678521332704,0.5113959312438965,0.0,0.5173940814028166,0.2638656198978424,0.125,0.20364739745855331,175,131.25738074485565,0.14409649211693676
v00059,13,368.5,669.5,0.9755729137362719,0.797703742980957,0.0,0.8183139629973666,0.5082744359970093,0.0,0.23078154772520065,175,214.52855287816584,0.14020609166491385
v00059,14,600.5,683.5,233.13822157321178,0.6294859647750854,0.0,0.6693371643189082,0.4658229351043701,0.05,0.18900121748447418,175,209.21878500746533,0.05664623337058059
v00059,15,504.5,677.5,136.95094428594885,0.49404412508010864,0.0,0.46161158449404394,0.3827117383480072,0.0875,0.19036134332418442,175,177.55703309077904,0.024568871035363014
v00059,16,473.5,675.5,105.88650861581695,0.5018144845962524,0.0,0.47322801147507926,0.3754243850708008,0.125,0.1892862543463707,175,177.48943630537565,0.018695907401883
v00059,17,379.5,489.5,179.67432174254378,0.43041864037513733,0.0,0.4570320704271934,0.26123979687690735,0.05,0.12741942703723907,175,120.95660378830087,0.014956715061419022
v00059,18,619.5,378.5,384.20150007490105,0.3799068331718445,0.0,0.363791700083402,0.10209561884403229,0.11020817282989959,0.05643553286790848,175,170.41860227099622,0.009930578981067808
v00059,19,536.5,679.5,169.01336499415868,0.502415657043457,0.0,0.44626087892056454,0.3986442983150482,0.2,0.14969940669834614,175,183.17341510164624,0.009474134649107313
v00059,20,611.5,489.5,302.5286620594764,0.34225887060165405,0.0,0.3933612584108713,0.10969380289316177,0.12961646096066226,0.07374167814850807,175,111.99330337122841,0.008839532620025879
v00060,1,467.0,429.0,172.76933530804757,0.7266294956207275,0.0,0.7633985645285574,0.4596169888973236,0.05,0.36141325533390045,175,78.29431652425353,0.9120123953303186
v00060,2,641.0,440.0,347.11489353582306,0.6043239831924438,0.0,0.6793306930089338,0.33202993869781494,0.05,0.21204742789268494,175,153.2351134694656,0.8696464625709556
