pair_id,variant,gt_rank,latency_sec
pair_027,R0,3,0.028754234313964844
pair_027,R1,3,0.05297994613647461
pair_027,R2,3,0.05197763442993164
pair_027,R3,8,0.059891462326049805
pair_028,R0,1,0.03424429893493652
pair_028,R1,1,0.06147170066833496
pair_028,R2,3,0.05768895149230957
pair_028,R3,3,0.059459686279296875
pair_029,R0,8,0.03704357147216797
pair_029,R1,8,0.055153608322143555
pair_029,R2,41,0.05954480171203613
pair_029,R3,41,0.061109066009521484
pair_030,R0,14,0.02097630500793457
pair_030,R1,28,0.05359911918640137
pair_030,R2,59,0.05262160301208496
pair_030,R3,70,0.05376863479614258
pair_031,R0,-1,0.022472381591796875
pair_031,R1,-1,0.05330824851989746
pair_031,R2,-1,0.054604530334472656
pair_031,R3,-1,0.05470132827758789
pair_032,R0,2,0.02851247787475586
pair_032,R1,2,0.0602877140045166
pair_032,R2,2,0.0616002082824707
pair_032,R3,6,0.058480262756347656
pair_033,R0,1,0.0235440731048584
pair_033,R1,1,0.16997075080871582
pair_033,R2,1,0.07788801193237305
pair_033,R3,1,0.056775808334350586
pair_034,R0,5,0.019578933715820312
pair_034,R1,6,0.04781913757324219
pair_034,R2,45,0.049378156661987305
pair_034,R3,49,0.048983097076416016
pair_035,R0,1,0.04469609260559082
pair_035,R1,1,0.10301041603088379
pair_035,R2,1,0.07204794883728027
pair_035,R3,1,0.1041254997253418
pair_036,R0,3,0.036782264709472656
pair_036,R1,3,0.08752179145812988
pair_036,R2,6,0.05676460266113281
pair_036,R3,6,0.05413007736206055
pair_037,R0,2,0.02545166015625
pair_037,R1,2,0.05919671058654785
pair_037,R2,1,0.0601956844329834
pair_037,R3,1,0.06943583488464355
pair_038,R0,3,0.043630123138427734
pair_038,R1,3,0.06935358047485352
pair_038,R2,3,0.06010627746582031
pair_038,R3,6,0.06127643585205078
pair_039,R0,2,0.023580312728881836
pair_039,R1,2,0.05896282196044922
pair_039,R2,4,0.0576319694519043
pair_039,R3,4,0.05621528625488281
pair_040,R0,-1,0.02245783805847168
pair_040,R1,-1,0.05658388137817383
pair_040,R2,-1,0.055684566497802734
pair_040,R3,-1,0.057806968688964844
pair_041,R0,1,0.020986318588256836
pair_041,R1,1,0.05856680870056152
pair_041,R2,1,0.048978328704833984
pair_041,R3,1,0.04814767837524414
pair_042,R0,2,0.01982259750366211
pair_042,R1,2,0.056076765060424805
pair_042,R2,2,0.05529046058654785
pair_042,R3,3,0.0631861686706543
pair_043,R0,-1,0.03130316734313965
pair_043,R1,21,0.06299734115600586
pair_043,R2,21,0.06444859504699707
pair_043,R3,68,0.0627901554107666
pair_044,R0,5,0.022530794143676758
pair_044,R1,5,0.05881857872009277
pair_044,R2,44,0.06856369972229004
pair_044,R3,44,0.09074807167053223
pair_045,R0,6,0.023199081420898438
pair_045,R1,6,0.06582212448120117
pair_045,R2,6,0.05500078201293945
pair_045,R3,3,0.05453085899353027
pair_046,R0,24,0.026111841201782227
pair_046,R1,31,0.05350136756896973
pair_046,R2,35,0.06549239158630371
pair_046,R3,37,0.05827140808105469
