pair_id,gap_1_2,relative_gap_1_2,gap_1_3,gap_1_5,relative_gap_1_5,gap_1_10,relative_gap_1_10,gap_1_20,relative_gap_1_20,gap_1_30,gap_1_50,gap_1_100,gap_1_200
pair_058,0.026915776509310693,0.2001485945147133,0.07730717265604088,0.08961171454806857,0.6663622991759245,0.10140735405410779,0.7540759368530431,0.11212235917437066,0.8337538615934537,0.12084765102590472,0.12878264088247462,0.13301777202260143,0.13441058142709192
pair_059,0.7552711430005439,0.8554898659755276,0.7680042352250495,0.788085374309211,0.8926582956242708,0.8487298631805861,0.961349845854318,0.8690780148049744,0.9843980420780484,0.8742869854020792,0.8777443866335288,0.881996674093343,0.8827807600200697
pair_060,0.054488044396016067,0.20866992290663344,0.15308464269825328,0.19854831550176383,0.7603697682353279,0.22659707277746377,0.8677865801841729,0.2374637571383341,0.9094021348066347,0.2431194037967228,0.25514934290103575,0.26032940081703115,0.2610578761001502
pair_061,0.019733975376552776,0.36278917094022295,0.0240909391272819,0.0286497097519487,0.5266959267080593,0.04128168342310895,0.7589219819277293,0.04749636418225296,0.8731725998213176,0.050912183793863426,0.0527836398511083,0.05424767848401544,0.05435019574572629
pair_062,0.012719812651112883,0.013522135411332752,0.09642896673998158,0.18958651989367525,0.20154499633619302,0.7429025114425774,0.7897622891691567,0.8817344936359947,0.9373513232323964,0.9314819027186959,0.9360310214989362,0.9396811624647459,0.940611842906305
pair_063,0.3755792113703751,0.44292636871103974,0.5562474361716588,0.6874476258249927,0.8107176099409295,0.7894574593692298,0.9310193832465072,0.8315072462692035,0.9806093468356034,0.8416242342607114,0.8447453962790396,0.8472818918645628,0.8478856366726375
pair_064,0.09832628913242014,0.11406989793505706,0.10058909670274341,0.3515830747515155,0.4078771385197682,0.6649091397282554,0.7713717091747816,0.8133878053657234,0.9436241798440423,0.8420598323276672,0.8531739284323845,0.8608584059396089,0.8619369934236649
pair_065,0.23381976551378036,0.23847078985886086,0.41439976299994075,0.8149453234459544,0.8311558030473175,0.9462823926897332,0.965105362749814,0.9676187255847968,0.9868661071718997,0.9747739309933344,0.9775098522552044,0.9800670419983394,0.9804336549441883
pair_066,0.10567719082454186,0.12828436515770422,0.3897844815029573,0.470005310415285,0.5705520027257588,0.6756950027519919,0.8202442153500372,0.7809930367861251,0.9480683119505126,0.8120904959109687,0.8184603037391446,0.8225029836068306,0.823690127034932
pair_067,0.5223004360036393,0.7732580511541592,0.5424509572552636,0.6107347320071361,0.9041837151380536,0.6258225606740537,0.9265210217663928,0.6592601810206529,0.9760249228970895,0.6660559970297363,0.6700338957074988,0.674699396918876,0.6753932632841747
