pair_id,candidate_a,candidate_b,rank_a,rank_b,score_a,score_b,delta_score,delta_corr,delta_psr,delta_context128,delta_context_combined,delta_neigh,delta_gradient,delta_phase,delta_center,delta_family,label
pair_005,GT,Rank_18,6,18,0.07716594457460359,0.017566144316413616,0.05959980025818997,0.05107378959655762,0,-0.13819944653262695,-0.0022177563203195083,0.030381171032786314,-0.07541710138320923,0.043585412256314196,-29.587748818895605,0.0,1
pair_005,GT,Rank_19,6,19,0.07716594457460359,0.01632201109995885,0.060843933474644736,0.045046448707580566,0,-0.10578942809651559,-0.09388261414891208,0.0331924203783274,-0.08162784576416016,0.043585412256314196,3.5097978837671207,0.0,1
pair_005,GT,Rank_20,6,20,0.07716594457460359,0.014536462229332256,0.06262948234527133,-0.013278961181640625,0,-0.05347017503002638,0.06698079227519027,-0.007204574532806901,-0.043188631534576416,0.006085412256314204,-70.48585127067933,0.0,1
pair_006,GT,Rank_1,37,1,0.005273884682665874,0.06920918471653013,-0.06393530003386426,-0.007485806941986084,0,0.024911203177905003,0.0025210455139321186,0.03539653867483139,-0.04751220345497137,-0.0749999999999999,-21.161114463200818,0.0,1
pair_006,GT,Rank_2,37,2,0.005273884682665874,0.059472014826886375,-0.0541981301442205,-0.025930583477020264,0,0.010468520621899402,-0.0016799511988910831,0.07228777743875978,-0.05488970875740057,-0.006085412256314204,6.7556333425061155,0.0,1
pair_006,GT,Rank_3,37,3,0.005273884682665874,0.02950097329430395,-0.024227088611638074,-0.016468822956085205,0,0.046272947844820514,0.013972789896586513,0.02916593477129939,-0.024496823549270685,-0.006085412256314204,4.5605599532386805,0.0,1
pair_006,GT,Rank_4,37,4,0.005273884682665874,0.029433447863337917,-0.024159563180672042,-0.024246811866760254,0,-0.7867300253638124,-0.006410287079823995,0.08776165917515749,-0.0474983155727387,-0.006085412256314204,-83.87119034067267,0.0,1
pair_006,GT,Rank_5,37,5,0.005273884682665874,0.024914719025995256,-0.01964083434332938,-0.022940993309020996,0,-0.3068287976322196,0.015607198603535932,0.03259328752756119,-0.04981043934822088,0.03749999999999999,-9.742582940832762,0.0,1
pair_006,GT,Rank_6,37,6,0.005273884682665874,0.02411582034948915,-0.018841935666823274,-0.018279612064361572,0,-0.78332521780778,-0.001275461844190362,0.0713062733411789,-0.03659477829933172,0.028647450843757895,33.68065600421725,0.0,1
pair_006,GT,Rank_7,37,7,0.005273884682665874,0.021890930405236778,-0.016617045722570903,-0.0061383843421936035,0,-0.7803962283175405,-0.01847926619223439,0.025904752314090673,-0.062142342329025324,0.0,-12.04206871915882,0.0,1
