pair_id,set_type,gt_found,anchor_err,anchor_ok,a_big,a_grad,a_rout,a_fall,a_lminl,a_lmrms,a_g,gt_rank,g_big,g_grad,g_rout,g_fall,g_lminl,g_lmrms,g_g,g_minus_a
pair_066,SetA,1,28.20084451684959,0,0.09053269028663635,0.08268234878778458,0.034928783774375916,0.4793805032968521,0,9.096702699330127,-0.7820972680062059,2.0,0.06414972990751266,0.059029873460531235,0.012957549653947353,0.4875683421269059,1.0,9.073771725877465,-0.7835801839061532,-0.0014829158999473124
pair_067,SetA,1,0.18933611752193316,1,0.23894309997558594,0.2544577419757843,0.19605214893817902,0.5735963433980942,1,8.793937305515279,0.0815829429072766,,,,,,,,,
pair_068,SetA,1,49.85803840011757,0,0.17111806571483612,0.24891674518585205,0.11763276159763336,0.5938632935285568,0,9.40744386111339,-0.4344454732513308,,,,,,,,,
pair_069,SetA,1,0.6121705750699105,1,0.19333454966545105,0.06586982309818268,0.1202373057603836,0.7256188243627548,2,7.14142842854285,-0.41617289830679766,,,,,,,,,
pair_070,SetB,1,133.45133560164737,0,0.17268702387809753,0.07960402220487595,0.15592138469219208,0.22590358555316925,6,8.666025617317317,1.0268275958927293,,,,,,,,,
pair_071,SetB,1,0.1969157821608585,1,0.1613968014717102,0.13067041337490082,0.11112532019615173,0.6174075305461884,3,8.175165645620481,-0.1607493796501126,,,,,,,,,
pair_072,SetB,1,260.2117025264246,0,0.07625964283943176,0.03152143210172653,0.063725546002388,0.1578383445739746,1,9.055385138137417,-0.14567220056995503,,,,,,,,,
pair_073,SetB,1,164.6318859693069,0,0.22616034746170044,0.09589141607284546,0.18380990624427795,0.5016715228557587,5,6.416125518306719,0.7091782947380263,13.0,0.23915496468544006,0.09248381853103638,0.18908385932445526,0.49061138927936554,4.0,6.861729616746301,0.6023582693267617,-0.10682002541126456
pair_074,SetB,1,0.06458185961796825,1,0.23869644105434418,0.0803021788597107,0.21111337840557098,0.3395129591226578,1,5.8675865079751,0.42640887374077585,,,,,,,,,
pair_075,SetB,1,37.10046096833065,0,0.15154021978378296,0.026802580803632736,0.10677888244390488,0.4727645292878151,4,7.92148975887743,0.07177946655801815,,,,,,,,,
pair_076,SetB,1,26.710712697045906,0,0.06465314328670502,0.021293971687555313,0.05716292932629585,0.15270423516631126,0,25.0,-1.0874751210212708,,,,,,,,,
pair_077,SetB,1,150.46713034156207,0,0.0855792686343193,0.032197095453739166,0.03360084071755409,0.5589449666440487,1,7.897065047448727,-0.8553008154344194,12.0,0.07506174594163895,0.0934540182352066,0.031561341136693954,0.5981087423861027,1.0,7.058199615920608,-0.8372002679844958,0.01810054744992362
pair_078,SetB,1,231.9187590169905,0,0.017112450674176216,0.09450663626194,-0.059908412396907806,0.6382285580039024,4,7.604823031033223,-0.7241871285291827,,,,,,,,,
pair_079,SetB,1,13.266356053735084,0,0.23379826545715332,0.16085830330848694,0.16831588745117188,0.5877504348754883,4,6.5383484153110105,0.5068477675848082,5.0,0.2413194626569748,0.18621379137039185,0.18590450286865234,0.5609317421913147,2.0,7.216878364870322,0.28251083178567704,-0.22433693579913117
pair_080,SetB,1,268.0757556445033,0,0.054439887404441833,0.03904413431882858,-0.0023725947830826044,0.39997488469816744,1,8.67179335547152,-0.7023046371326579,,,,,,,,,
pair_081,SetB,1,270.4132779805538,0,0.03889201581478119,0.08951673656702042,-0.05367602780461311,0.6623022742569447,4,7.298816840606927,-0.6578279613297285,4.0,0.05261308327317238,0.07817652821540833,-0.04284815490245819,0.6962638348340988,3.0,8.18535277187245,-0.8688534527746217,-0.21102549144489313
pair_082,SetB,1,35.24618251851031,0,0.07587113231420517,0.05648506432771683,-0.0004662230785470456,0.5593639567669015,4,8.46919551830472,-0.41679609841426923,,,,,,,,,
pair_083,SetB,1,262.7504871705289,0,0.12533363699913025,0.004502072464674711,0.06415031850337982,0.497716560959816,4,10.352865216055804,-0.19105611971777492,,,,,,,,,
pair_084,SetB,1,20.681808228757934,0,0.08050220459699631,0.07317328453063965,0.029479127377271652,0.3986246772110462,3,8.573214099741124,-0.1959751082630221,11.0,0.22777236998081207,0.08919983357191086,0.19426333904266357,0.3401358127593994,0.0,8.154753215150045,0.11997479496735314,0.31594990323037525
pair_085,SetB,1,158.96185884395823,0,0.26345568895339966,0.10387465357780457,0.24622856080532074,0.4120490103960037,1,5.656854249492381,0.48297642212561853,,,,,,,,,
pair_086,SetB,1,66.82924114827752,0,0.01743393950164318,0.007271583192050457,0.00799777265638113,0.155224465765059,0,25.0,-1.3395774302072823,,,,,,,,,
pair_087,SetB,1,0.35974940726065907,1,0.18039952218532562,0.10560891777276993,0.10287804156541824,0.6203983351588249,4,7.466592261534039,0.08953545021976062,,,,,,,,,
